Metal,Food Category,MRL Limit,Unit
Lead,Foods not specified,2.5,mg/kg
Lead,Fruits and Vegetables,0.1,mg/kg
Lead,Fish and Fishery,0.3,mg/kg
Lead,Milk and Products,0.05,mg/kg
Cadmium,Vegetables (most),0.05,mg/kg
Cadmium,Cereals,0.1,mg/kg
Cadmium,Fish,0.3,mg/kg
Cadmium,Molluscs,2.0,mg/kg
Mercury,Non-predatory Fish,0.5,mg/kg
Mercury,Predatory Fish,1.0,mg/kg
Mercury,Vegetables,1.0,mg/kg
Methyl Mercury,All foods,0.25,mg/kg
Chromium,Vegetables,1.0,mg/kg
Chromium,Fishery products,12.0,mg/kg
