Drug Name,Animal Type,Tissue,MRL Value,Unit,Food Category,Notes
Ampicillin,All,All edible tissues,0.01,mg/kg,Meat/Animal Products,
Streptomycin,Cattle,Muscle,0.6,mg/kg,Meat/Animal Products,
Streptomycin,Cattle,Liver,0.6,mg/kg,Meat/Animal Products,
Streptomycin,Cattle,Kidney,1.0,mg/kg,Meat/Animal Products,
Streptomycin,Cattle,Milk,0.02,mg/kg,Meat/Animal Products,
Tetracycline,Cattle,Muscle,0.2,mg/kg,Meat/Animal Products,
Tetracycline,Cattle,Liver,0.6,mg/kg,Meat/Animal Products,
Tetracycline,Cattle,Kidney,1.2,mg/kg,Meat/Animal Products,
Tetracycline,Cattle,Milk,0.1,mg/kg,Meat/Animal Products,
Erythromycin,Chicken,Muscle,0.1,mg/kg,Meat/Animal Products,
Erythromycin,Chicken,Eggs,0.05,mg/kg,Meat/Animal Products,
Tilmicosin,Cattle,Muscle,0.1,mg/kg,Meat/Animal Products,
Tilmicosin,Cattle,Liver,1.0,mg/kg,Meat/Animal Products,
Neomycin,Cattle,Kidney,10.0,mg/kg,Meat/Animal Products,
Colistin,Cattle,Muscle,0.15,mg/kg,Meat/Animal Products,
Colistin,Chicken,Eggs,0.3,mg/kg,Meat/Animal Products,
Flumequine,Cattle,Kidney,3.0,mg/kg,Meat/Animal Products,
Monensin,Cattle,Milk,0.002,mg/kg,Meat/Animal Products,
Tetracycline,Fish,Whole,0.1,mg/kg,Fish and Fishery Products,
Chloramphenicol,Honey,Whole,0.3,μg/kg,Honey,LOQ
